,1.0,1.01,1.02,1.03,1.04,1.05,1.06
0,0.5,0.56,0.59,0.64,0.5900000000000001,0.66,0.63
1,0.5,0.5800000000000001,0.6,0.61,0.62,0.72,0.84
2,0.5,0.5700000000000001,0.65,0.62,0.67,0.71,0.6900000000000001
3,0.5,0.58,0.62,0.65,0.66,0.68,0.8
4,0.5,0.58,0.7300000000000001,0.7000000000000001,0.75,0.8400000000000001,0.79
5,0.5,0.61,0.65,0.78,0.79,0.75,0.8699999999999999
6,0.5,0.63,0.65,0.68,0.79,0.84,0.89
7,0.5,0.6,0.63,0.67,0.75,0.6900000000000001,0.93
8,0.5,0.6,0.66,0.78,0.85,0.8499999999999999,0.91
9,0.5,0.65,0.6799999999999999,0.7200000000000001,0.73,0.8600000000000001,0.9500000000000001
10,0.5,0.66,0.71,0.68,0.96,0.8800000000000001,1.0
